assembly_no,district,cand_no,party,name_kr,name_cn,sex,birthyear,birthmonth,birthday,address,job,education,experience,recommend_priority,votenum,voterate,elected
17,제주 서귀포시남제주군,,열린우리당,김재윤,金才允,남,1965,05,24,,탐라대학교 교수,명지대학교 대학원졸업(문학박사),국정자문위원회 위원||열린우리당 중앙위원,,41466,59.60,True
17,비례대표,,한나라당,김애실,金愛實,여,1946,08,01,,한국외대 경제학과 교수,하와이대 대학원 졸업(경제학 박사),대통령자문 국민경제자문위원회위원,1,,,True
17,비례대표,,한나라당,박세일,朴世逸,남,1948,04,04,,서울대 교수,서울대 법학과 졸업,청와대 정책기획 수석비서관,2,,,True
17,비례대표,,한나라당,박찬숙,朴贊淑,여,1945,12,05,,방송인,숙명여대 국어국문학과 졸업,KBS 보도 방송위원,3,,,True
17,비례대표,,한나라당,윤건영,尹建永,남,1952,03,08,,연세대 경제학과 교수,하버드대  졸업(경제학박사),경실련 정책위의장,4,,,True
17,비례대표,,한나라당,송영선,宋永仙,여,1953,08,09,,한국 안보포럼대표,하와이대 졸업(정치학 박사),한국국방연구원 안보전략센터 소장,5,,,True
17,비례대표,,한나라당,황진하,黃辰夏,남,1946,08,25,,한국군사문제연구원 연구위원,육군사관학교 졸업,UN평화 유지군 사령관,6,,,True
17,비례대표,,한나라당,전여옥,田麗玉,여,1959,04,19,,당대변인,이화여대학원정치외교학과 박사과정 재학,KBS기자,7,,,True
17,비례대표,,한나라당,정화원,鄭和元,남,1948,07,08,,한국시각장애인연합회중앙회 수석부회장,방통대 교육학과 졸업,부산시의원,8,,,True
17,비례대표,,한나라당,이계경,李啓卿,여,1950,12,21,,당운영위원,이화여대 대학원(사회사업학과)졸업,여성신문사 명예회장,9,,,True
17,비례대표,,한나라당,박재완,朴宰完,남,1955,01,24,,성균관대 교수,하버드대 정책학 박사 졸업,경실련정책위의장,10,,,True
17,비례대표,,한나라당,나경원,羅卿瑗,여,1963,12,06,,변호사,서울대 법대 졸업,서울행정법원 판사,11,,,True
17,비례대표,,한나라당,이주호,李周浩,남,1961,02,17,,교육개혁 연구소장,미국 코넬대 졸업( 경제학 박사 ),KDI 정책대학원교수,12,,,True
17,비례대표,,한나라당,김영숙,金英淑,여,1943,01,20,,교육자,숙명여대 교육대학원 졸업,전국초등학교여자교장협의회회장,13,,,True
17,비례대표,,한나라당,유승민,劉承旼,남,1958,01,07,,한림대 교수,미국 위스콘신대 졸업(경제학박사),당 여의도 연구소장,14,,,True
17,비례대표,,한나라당,고경화,高京華,여,1962,07,18,,정당인,이대 사회복지학 박사과정 재학,당보건복지 수석전문위원,15,,,True
17,비례대표,,한나라당,이군현,李君賢,남,1952,03,12,,중앙대 교육대학원 교수,미국 캔자스주립대학교 졸업(박사),한국교총회장,16,,,True
17,비례대표,,한나라당,진수희,陳壽姬,여,1955,11,12,,정당인,미국일리노이대 졸업(사회학 박사),당 여의도연구소 선임연구위원,17,,,True
